['1st line: id master node, numérotation starting from 1, 2nd line:offset value, the number of column corresponds to the node id, next lines :id nd (1st colm),id stage (2nd colm, if id=0 it is rd cleat), actuat durat (3rd colm), t end cycle(5th colm, for a given inersection stages will be actuated according to their order in this file, within the cycle']
1
1	 0	 2	 25	 3	 50	 4	 75	 5	 100	 6	 125	 7	 150	 8	 175	 9	 200	 10	 225	 11	 250	 12	 275	 13	300	 14	 325	 15	 350 		 
1	 1	 30	 60 
1	 2	 30	 60
2	 1	 30	 60 
2	 2	 30	 60
3	 1	 30	 60 
3	 2	 30	 60
4	 1	 30	 60 
4	 2	 30	 60
5	 1	 30	 60 
5	 2	 30	 60
6	 1	 30	 60 
6	 2	 30	 60
7	 1	 30	 60 
7	 2	 30	 60
8	 1	 30	 60 
8	 2	 30	 60
9	 1	 30	 60 
9	 2	 30	 60
10	 1	 30	 60 
10	 2	 30	 60
11	 1	 30	 60 
11	 2	 30	 60
12	 1	 30	 60 
12	 2	 30	 60
13	 1	 30	 60 
13	 2	 30	 60
14	 1	 30	 60 
14	 2	 30	 60
15	 1	 30	 60 
15	 2	 30	 60
